,ZipCode,Date,Zestimate,LogValue,AnchorDate,EventTime,RelLogValue
9996,50061,2018-05-31,383639.4648698461,12.85745849696511,2018-11-30,-6,-0.03660640823125405
10021,78245,2018-05-31,185671.83228774305,12.131736051870856,2018-11-30,-6,-0.028551848188392626
10030,20109,2018-05-31,284289.06180870096,12.557746822782521,2019-09-30,-16,-0.06078062310037602
10042,68138,2018-05-31,174164.9453709067,12.067758091066299,2020-02-29,-21,-0.10516490337814766
10051,50061,2018-06-30,385746.8959487966,12.862936723397949,2018-11-30,-5,-0.031128181798415255
10076,78245,2018-06-30,186446.066424192,12.135897288169035,2018-11-30,-5,-0.02439061189021352
10085,20109,2018-06-30,284316.7144661996,12.557844087561298,2019-09-30,-15,-0.0606833583215991
10097,68138,2018-06-30,174923.65872998568,12.072104921898468,2020-02-29,-20,-0.10081807254597841
10106,50061,2018-07-31,388685.5823525989,12.870526024185832,2018-11-30,-4,-0.023538881010532364
10131,78245,2018-07-31,187400.77909653456,12.141004806176614,2018-11-30,-4,-0.019283093882634716
10140,20109,2018-07-31,284828.5239113693,12.55964260768804,2019-09-30,-14,-0.05888483819485657
10152,68138,2018-07-31,175843.22942986593,12.077348135198248,2020-02-29,-19,-0.09557485924619868
10161,50061,2018-08-31,391463.42307334905,12.877647362394079,2018-11-30,-3,-0.016417542802285467
10186,78245,2018-08-31,188318.5901926379,12.145890436233275,2018-11-30,-3,-0.014397463825973844
10195,20109,2018-08-31,285847.0853682778,12.563212280272381,2019-09-30,-13,-0.05531516561051575
10207,68138,2018-08-31,176541.85954632875,12.081313291804852,2020-02-29,-18,-0.09160970263959456
10216,50061,2018-09-30,393954.33176270034,12.883990272330351,2018-11-30,-2,-0.010074632866013289
10241,78245,2018-09-30,189271.5127423067,12.150937838510703,2018-11-30,-2,-0.009350061548545341
10250,20109,2018-09-30,287339.7111568321,12.568420457332884,2019-09-30,-12,-0.05010698855001294
10262,68138,2018-09-30,177069.99227115317,12.084300369951722,2020-02-29,-17,-0.08862262449272507
10271,50061,2018-10-31,396165.95737040247,12.889588486714025,2018-11-30,-1,-0.004476418482338929
10296,78245,2018-10-31,190109.55748871109,12.155355803323772,2018-11-30,-1,-0.0049320967354766765
10305,20109,2018-10-31,289053.63353954704,12.574367533057965,2019-09-30,-11,-0.04415991282493259
10317,68138,2018-10-31,177248.67113563884,12.085308947247167,2020-02-29,-16,-0.08761404719727928
10326,50061,2018-11-30,397943.3371639532,12.894064905196364,2018-11-30,0,0.0
10351,78245,2018-11-30,191049.51228516456,12.160287900059249,2018-11-30,0,0.0
10360,20109,2018-11-30,290888.1921680639,12.58069425296873,2019-09-30,-10,-0.03783319291416731
10372,68138,2018-11-30,177576.5102784528,12.087156838847175,2020-02-29,-15,-0.08576615559727152
10381,50061,2018-12-31,398723.580841953,12.896023675944425,2018-11-30,1,0.001958770748061056
10406,78245,2018-12-31,192125.41523034935,12.165903642089567,2018-11-30,1,0.005615742030318671
10415,20109,2018-12-31,292716.5696837722,12.586960080861688,2019-09-30,-9,-0.031567365021208715
10427,68138,2018-12-31,178030.30408801066,12.089709062469183,2020-02-29,-14,-0.08321393197526383
10436,50061,2019-01-31,399619.307502636,12.898267641662967,2018-11-30,2,0.00420273646660263
10461,78245,2019-01-31,193212.47156992136,12.171545751316467,2018-11-30,2,0.011257851257218121
10470,20109,2019-01-31,293945.13329720445,12.591148407466791,2019-09-30,-8,-0.027379038416105672
10482,68138,2019-01-31,178794.2863668752,12.093991185768433,2020-02-29,-13,-0.07893180867601401
10492,50061,2019-02-28,401267.0951003199,12.9023825571302,2018-11-30,3,0.0083176519338366
