TreatedZip,EventTime,RelLogValue,ControlCount
08361,-24,-0.05204996210140855,5
08361,-23,-0.03972849870449195,5
08361,-22,-0.02880018143823726,5
08361,-21,-0.020084422352205776,5
08361,-20,-0.011345311182600426,5
08361,-19,-0.004108177975853522,5
08361,-18,0.000535381158129411,5
08361,-17,0.0025133508165861686,5
08361,-16,0.003620850772243145,5
08361,-15,0.0030080695705560602,5
08361,-14,0.0005894728450197562,5
08361,-13,-0.0012913081725695718,5
08361,-12,-0.0029336273477618136,5
08361,-11,-0.003052361500214218,5
08361,-10,-0.003313792458698117,5
08361,-9,-0.002794700615061174,5
08361,-8,-0.001562198225294864,5
08361,-7,-0.00021897883526733608,5
08361,-6,0.0008369569099926366,5
08361,-5,-0.000872897566031483,5
08361,-4,-0.0031588126743557154,5
08361,-3,-0.004062186951663804,5
08361,-2,-0.003922076677345743,5
08361,-1,-0.0016762498751429432,5
08361,0,0.0,5
08361,1,0.002230595291370108,5
08361,2,0.0026790141780853815,5
08361,3,0.0016502945734437446,5
08361,4,-2.2074360192192444e-05,5
14012,-24,-0.07062328261110906,5
14012,-23,-0.06629838672281778,5
14012,-22,-0.06357868805902847,5
14012,-21,-0.0630457165837818,5
14012,-20,-0.0635759716180889,5
14012,-19,-0.0631610566513821,5
14012,-18,-0.05889782102504988,5
14012,-17,-0.050238386199601234,5
14012,-16,-0.03777225338479902,5
14012,-15,-0.025490466365845066,5
14012,-14,-0.01567263474387879,5
14012,-13,-0.010143344865725368,5
14012,-12,-0.007450445603150513,5
14012,-11,-0.006129697131190781,5
14012,-10,-0.007370113968744718,5
14012,-9,-0.006724815290176878,5
14012,-8,-0.00963161676192783,5
14012,-7,-0.011205002703137268,5
14012,-6,-0.016075561282941565,5
14012,-5,-0.01801788724650457,5
14012,-4,-0.019346007626663563,5
14012,-3,-0.017351681767892303,5
14012,-2,-0.011055284091086647,5
14012,-1,-0.004791105596299516,5
14012,0,0.0,5
14012,1,0.001221221578608933,5
14012,2,0.003310241642490297,5
14012,3,0.007010781988363491,5
14012,4,0.01272618045151681,5
14012,5,0.019624437927414105,5
14012,6,0.0273642841032391,5
14012,7,0.03520345889878627,5
14012,8,0.042638792607427686,5
14012,9,0.050124570229793976,5
14012,10,0.05570271629780201,5
18603,-24,-0.030077192657054396,5
18603,-23,-0.03437892463416965,5
18603,-22,-0.03862856870228874,5
18603,-21,-0.04082858672267449,5
18603,-20,-0.04029537272474286,5
18603,-19,-0.037224909065227504,5
18603,-18,-0.03274383127961933,5
18603,-17,-0.027961541808466706,5
18603,-16,-0.022077912805730193,5
18603,-15,-0.019983177478778556,5
18603,-14,-0.02086052041981219,5
18603,-13,-0.024735635833366486,5
18603,-12,-0.027040517936279686,5
18603,-11,-0.028890871023747877,5
18603,-10,-0.027887995169186296,5
18603,-9,-0.028602854320890714,5
18603,-8,-0.02748686823493216,5
18603,-7,-0.025456682213055616,5
18603,-6,-0.02029269521235122,5
18603,-5,-0.015205068753662943,5
18603,-4,-0.012019460098319001,5
18603,-3,-0.008823151766828019,5
18603,-2,-0.006390852900426935,5
18603,-1,-0.0029964597857059516,5
18603,0,0.0,5
18603,1,0.003004514414670112,5
18603,2,0.006655083310096543,5
18603,3,0.012354301290788072,5
18603,4,0.020881044483024525,5
18603,5,0.028458268382432195,5
18603,6,0.03463673744018401,5
18603,7,0.03962424379239948,5
18603,8,0.044074123830346326,5
18603,9,0.047336985186181124,5
18603,10,0.049866392750176305,5
18603,11,0.051842159087969006,5
20109,-24,-0.09909007782482178,5
20109,-23,-0.10321160328111319,5
20109,-22,-0.10521875102606656,5
20109,-21,-0.1050260439061926,5
20109,-20,-0.10596592175959359,5
20109,-19,-0.10576543098289086,5
20109,-18,-0.10394711506318188,5
20109,-17,-0.09772910344665746,5
20109,-16,-0.08786140658325862,5
