TreatedZip,EventTime,RelLogValue,ControlCount
08361,-24,-0.11239854150021955,5
08361,-23,-0.09577947682623673,5
08361,-22,-0.0784621550326385,5
08361,-21,-0.07202065453869295,5
08361,-20,-0.07592653909323702,5
08361,-19,-0.08327356160468931,5
08361,-18,-0.08302023076918416,5
08361,-17,-0.0780542672134299,5
08361,-16,-0.07306598067774601,5
08361,-15,-0.06599857561793136,5
08361,-14,-0.05903746186809862,5
08361,-13,-0.04976349424018665,5
08361,-12,-0.04311711137145764,5
08361,-11,-0.03346664500969787,5
08361,-10,-0.02440384052745408,5
08361,-9,-0.014793492360108473,5
08361,-8,-0.007210394662446262,5
08361,-7,-0.0020756908329687463,5
08361,-6,0.0020845280714276273,5
08361,-5,0.0030797320272789364,5
08361,-4,0.001400769436616045,5
08361,-3,-0.007546752470436502,5
08361,-2,-0.012140504873515567,5
08361,-1,-0.010131976834760437,5
08361,0,0.0,5
08361,1,0.00865281082778573,5
08361,2,0.01809729025325595,5
08361,3,0.028839522268520667,5
08361,4,0.037350417009172784,5
08361,5,0.04167661390574864,5
08361,6,0.04128843567461047,5
08361,7,0.03854530670368526,5
08361,8,0.030737488994894237,5
08361,9,0.022094935024972527,5
08361,10,0.015158477720299856,5
08361,11,0.009596184619156034,5
08361,12,0.004483544395055006,5
08361,13,0.0006221650816748081,5
08361,14,0.0008657339116798113,5
08361,15,0.003810019136248499,5
08361,16,0.006501743045653185,5
08361,17,0.007284453329691587,5
08361,18,0.00040453416596264447,5
08361,19,-0.007471762990877906,5
08361,20,-0.013374010466230147,5
08361,21,-0.01542875456590167,5
08361,22,-0.015056384435945347,5
08361,23,-0.01740882720432744,5
08361,24,-0.019074665125512525,5
14012,-24,-0.05238030205581516,5
14012,-23,-0.05808471213525337,5
14012,-22,-0.06384754955135605,5
14012,-21,-0.06996582757248646,5
14012,-20,-0.07944169843562357,5
14012,-19,-0.08864602446534704,5
14012,-18,-0.0914325765634441,5
14012,-17,-0.08553530344485302,5
14012,-16,-0.07523713550010847,5
14012,-15,-0.06472062598801606,5
14012,-14,-0.05674712824927575,5
14012,-13,-0.04955139204130141,5
14012,-12,-0.04540152084544928,5
14012,-11,-0.04197034106374779,5
14012,-10,-0.039395620276657085,5
14012,-9,-0.0371954085871792,5
14012,-8,-0.03678117417774125,5
14012,-7,-0.03601537991227381,5
14012,-6,-0.03442468906914904,5
14012,-5,-0.028804570725158386,5
14012,-4,-0.020261010858961016,5
14012,-3,-0.011135016770134598,5
14012,-2,-0.00475804851907462,5
14012,-1,-0.0017008881975936418,5
14012,0,0.0,5
14012,1,0.002471823333663892,5
14012,2,0.004054726698804601,5
14012,3,0.008020033823354922,5
14012,4,0.009898389641232085,5
14012,5,0.013330716018307242,5
14012,6,0.012513194773212177,5
14012,7,0.010695255526984937,5
14012,8,0.00850348031998962,5
14012,9,0.009079688276215947,5
14012,10,0.013061603867140548,5
14012,11,0.015724827436307365,5
14012,12,0.019455930674127587,5
14012,13,0.023237779746124686,5
14012,14,0.028660503635085634,5
14012,15,0.03327763035584077,5
14012,16,0.03858389872943313,5
14012,17,0.04389986623047015,5
14012,18,0.050475627296403404,5
14012,19,0.05593819766995942,5
14012,20,0.060969614574128174,5
14012,21,0.06588006239563775,5
14012,22,0.07083990953091615,5
18603,-24,-0.2084761142430338,5
18603,-23,-0.20597492726760044,5
18603,-22,-0.19920284542896133,5
18603,-21,-0.18829967070232137,5
18603,-20,-0.1740101755567583,5
18603,-19,-0.16165334380153026,5
18603,-18,-0.15312849235651171,5
18603,-17,-0.14961134887686,5
18603,-16,-0.14676244462838425,5
18603,-15,-0.1441380898049335,5
18603,-14,-0.13659403846121593,5
18603,-13,-0.1323128132793318,5
18603,-12,-0.1301252093024356,5
18603,-11,-0.12853187304855496,5
18603,-10,-0.11960089114319672,5
18603,-9,-0.10317548338143645,5
18603,-8,-0.08877311414709901,5
18603,-7,-0.0764968731065192,5
18603,-6,-0.06868068691780387,5
18603,-5,-0.06020609287462797,5
18603,-4,-0.051081404152296984,5
18603,-3,-0.03965978964828025,5
18603,-2,-0.027083519311243264,5
18603,-1,-0.014256746223063388,5
18603,0,0.0,5
18603,1,0.007546901102709924,5
18603,2,0.00818293666907941,5
18603,3,0.00036197454393267493,5
18603,4,-0.003159539156464675,5
18603,5,-0.00013753380754621958,5
18603,6,0.005916313760291558,5
18603,7,0.017426157345511582,5
18603,8,0.028782902966379354,5
18603,9,0.0420109677759104,5
18603,10,0.053750830807151574,5
18603,11,0.06278744549106463,5
18603,12,0.07017001713548794,5
18603,13,0.07084658568921717,5
18603,14,0.06798528450880852,5
18603,15,0.06115197381329054,5
18603,16,0.05810189504200451,5
18603,17,0.05690407638631782,5
18603,18,0.05992192218536267,5
18603,19,0.06500024001646984,5
18603,20,0.06945266744511969,5
18603,21,0.07567947386340243,5
18603,22,0.08104312019452457,5
18603,23,0.08701713866236957,5
18603,24,0.09032242982977294,5
20109,-24,-0.10048913656900318,5
20109,-23,-0.09561215953362065,5
20109,-22,-0.09079582489759552,5
20109,-21,-0.08565594891222439,5
20109,-20,-0.08117586508868228,5
20109,-19,-0.07711894906273109,5
20109,-18,-0.07343629528619573,5
20109,-17,-0.07087215578533516,5
20109,-16,-0.0682150627079853,5
20109,-15,-0.06604437917099801,5
20109,-14,-0.06189444714475663,5
20109,-13,-0.0570605439956509,5
20109,-12,-0.05203683009190101,5
20109,-11,-0.047073085680246506,5
20109,-10,-0.042405894450465095,5
20109,-9,-0.03756391851965653,5
20109,-8,-0.03405540564175524,5
20109,-7,-0.029861949693458102,5
20109,-6,-0.024843978852544878,5
20109,-5,-0.019059987624643428,5
20109,-4,-0.01485512899577195,5
20109,-3,-0.011626359363725313,5
20109,-2,-0.008222458482350347,5
20109,-1,-0.004016959962654809,5
20109,0,0.0,5
20109,1,0.0026877101250811107,5
20109,2,0.005482931297215998,5
20109,3,0.008328643032001181,5
20109,4,0.012555650287821508,5
20109,5,0.018013442280429004,5
20109,6,0.024172649563011107,5
20109,7,0.030108031292733983,5
20109,8,0.03337827834781173,5
20109,9,0.034700479927898084,5
20109,10,0.03739846680889514,5
20109,11,0.04390706183433331,5
20109,12,0.056041728760321166,5
20109,13,0.07040285579891474,5
20109,14,0.08534935054193227,5
20109,15,0.09982542103579384,5
20109,16,0.11257934882255363,5
20109,17,0.12668702965664025,5
20109,18,0.14098410822087182,5
20109,19,0.15703680043575652,5
20109,20,0.17230310778409114,5
20109,21,0.18570939869096073,5
