,TreatedZip,EventTime,RelLogValue,DonorCount
142,18603,22,0.08104312019452457,5
143,18603,23,0.08701713866236957,5
144,18603,24,0.09032242982977294,5
145,20109,-24,-0.10048913656900318,5
146,20109,-23,-0.09561215953362065,5
147,20109,-22,-0.09079582489759552,5
148,20109,-21,-0.08565594891222439,5
149,20109,-20,-0.08117586508868228,5
150,20109,-19,-0.07711894906273109,5
151,20109,-18,-0.07343629528619573,5
152,20109,-17,-0.07087215578533516,5
153,20109,-16,-0.0682150627079853,5
154,20109,-15,-0.06604437917099801,5
155,20109,-14,-0.06189444714475663,5
156,20109,-13,-0.0570605439956509,5
157,20109,-12,-0.05203683009190101,5
158,20109,-11,-0.047073085680246506,5
159,20109,-10,-0.042405894450465095,5
160,20109,-9,-0.03756391851965653,5
161,20109,-8,-0.03405540564175524,5
162,20109,-7,-0.029861949693458102,5
163,20109,-6,-0.024843978852544878,5
164,20109,-5,-0.019059987624643428,5
165,20109,-4,-0.01485512899577195,5
166,20109,-3,-0.011626359363725313,5
167,20109,-2,-0.008222458482350347,5
168,20109,-1,-0.004016959962654809,5
169,20109,0,0.0,5
170,20109,1,0.0026877101250811107,5
171,20109,2,0.005482931297215998,5
172,20109,3,0.008328643032001181,5
173,20109,4,0.012555650287821508,5
174,20109,5,0.018013442280429004,5
175,20109,6,0.024172649563011107,5
176,20109,7,0.030108031292733983,5
177,20109,8,0.03337827834781173,5
178,20109,9,0.034700479927898084,5
179,20109,10,0.03739846680889514,5
180,20109,11,0.04390706183433331,5
181,20109,12,0.056041728760321166,5
182,20109,13,0.07040285579891474,5
183,20109,14,0.08534935054193227,5
184,20109,15,0.09982542103579384,5
185,20109,16,0.11257934882255363,5
186,20109,17,0.12668702965664025,5
187,20109,18,0.14098410822087182,5
188,20109,19,0.15703680043575652,5
189,20109,20,0.17230310778409114,5
190,20109,21,0.18570939869096073,5
191,20109,22,0.19383457253158198,5
192,20109,23,0.19736978190486382,5
193,20109,24,0.1973974515362748,5
194,20136,-24,-0.2048731318160481,5
